"Profile 1";"Profile 2";"Score"
"6|2|A";"23|2|B";0,425479
"16|2|A";"29|2|B";0,425644
"3|1|B";"3|2|A";0,425648
"5|1|A";"20|2|B";0,42578
"8|2|A";"16|2|A";0,426284
"25|1|A";"28|2|A";0,426289
"22|2|B";"35|2|B";0,427202
"24|1|B";"25|1|A";0,427574
"22|1|A";"39|1|B";0,427916
"38|1|A";"40|1|A";0,428005
"2|1|A";"14|1|A";0,428393
"17|2|B";"34|1|A";0,429149
"1|2|A";"35|1|A";0,429212
"4|2|B";"40|1|A";0,429275
"22|1|A";"33|2|A";0,429549
"7|1|A";"14|2|B";0,429669
"16|2|A";"20|1|A";0,429792
"5|1|A";"32|2|A";0,430073
"28|1|B";"28|2|A";0,430112
"12|2|A";"34|1|A";0,430204
"35|2|B";"43|1|B";0,430626
"33|2|A";"35|1|A";0,430912
"6|2|A";"37|1|B";0,431544
"14|2|B";"17|2|B";0,431695
"4|2|B";"33|2|A";0,431747
"25|1|A";"25|2|B";0,431945
"26|2|A";"39|2|A";0,433125
"5|1|A";"25|2|B";0,433404
"23|2|B";"36|2|A";0,433878
"7|1|A";"25|1|A";0,433927
"10|1|A";"32|1|B";0,434216
"26|1|B";"31|2|B";0,434227
"12|2|A";"36|1|B";0,434348
"8|1|B";"27|2|B";0,434705
"15|2|B";"27|2|B";0,435011
"14|2|B";"38|1|A";0,435023
"27|1|A";"41|2|A";0,435049
"24|2|A";"35|2|B";0,435516
"8|2|A";"38|2|B";0,43553
"7|1|A";"24|2|A";0,435534
"6|1|B";"25|2|B";0,435602
"21|1|B";"26|2|A";0,435669
"20|2|B";"39|2|A";0,435702
"6|1|B";"20|1|A";0,435958
"13|1|B";"13|2|A";0,436429
"18|1|B";"39|2|A";0,436571
"16|2|A";"38|1|A";0,43668
"36|2|A";"40|1|A";0,436997
"6|1|B";"22|2|B";0,437003
"12|2|A";"22|1|A";0,437068
"13|2|A";"28|1|B";0,437466
"2|1|A";"29|1|A";0,437675
"16|2|A";"19|2|A";0,437761
"14|1|A";"43|1|B";0,437792
"13|2|A";"35|1|A";0,437887
"43|1|B";"43|2|A";0,438071
"5|1|A";"39|1|B";0,438205
"5|1|A";"26|1|B";0,438213
"21|2|A";"38|2|B";0,438218
"36|2|A";"40|2|B";0,438255
"7|1|A";"7|2|B";0,438433
"8|2|A";"25|2|B";0,438799
"3|2|A";"29|1|A";0,438808
"33|1|B";"41|1|B";0,438986
"2|2|B";"38|1|A";0,439318
"15|2|B";"16|2|A";0,439369
"6|1|B";"23|2|B";0,439444
"12|2|A";"32|1|B";0,43948
"12|1|B";"41|2|A";0,439616
"17|1|A";"37|1|B";0,440271
"3|1|B";"29|2|B";0,440394
"7|1|A";"34|1|A";0,440507
"35|1|A";"36|2|A";0,440521
"20|2|B";"21|1|B";0,440752
"7|1|A";"40|1|A";0,440865
"26|2|A";"28|1|B";0,441178
"39|2|A";"42|2|B";0,441198
"4|1|A";"37|1|B";0,441912
"7|2|B";"35|1|A";0,442275
"34|1|A";"43|2|A";0,442552
"32|2|A";"42|1|A";0,442781
"23|2|B";"25|2|B";0,442867
"3|2|A";"20|1|A";0,442941
"5|1|A";"42|1|A";0,443034
"11|1|A";"26|2|A";0,44311
"6|1|B";"18|2|A";0,443139
"22|2|B";"39|1|B";0,443169
"20|1|A";"21|1|B";0,44435
"18|1|B";"24|1|B";0,445243
"22|1|A";"26|1|B";0,445307
"2|1|A";"7|1|A";0,445342
"24|2|A";"40|1|A";0,445897
"7|2|B";"12|2|A";0,445962
"17|2|B";"37|1|B";0,446021
"6|2|A";"11|2|B";0,446032
"26|1|B";"33|2|A";0,44637
"16|2|A";"35|1|A";0,446403
"11|1|A";"32|2|A";0,446779
"4|2|B";"20|2|B";0,446837
"11|2|B";"22|1|A";0,446905
"3|2|A";"15|2|B";0,44721
"32|1|B";"42|1|A";0,447292
"26|1|B";"39|2|A";0,447321
"25|2|B";"29|2|B";0,447485
"32|2|A";"39|2|A";0,447993
"18|2|A";"26|2|A";0,448103
"3|1|B";"6|1|B";0,448256
"20|2|B";"31|2|B";0,44869
"18|1|B";"35|1|A";0,449332
"1|2|A";"7|2|B";0,449359
"8|1|B";"24|1|B";0,449387
"18|1|B";"40|1|A";0,44939
"24|2|A";"43|1|B";0,44957
"4|2|B";"21|1|B";0,449661
"22|1|A";"43|2|A";0,450105
"4|2|B";"25|2|B";0,450389
"26|2|A";"28|2|A";0,450942
"6|2|A";"26|1|B";0,451065
"16|1|B";"40|1|A";0,451307
"17|1|A";"24|1|B";0,451314
"7|1|A";"42|1|A";0,451538
"4|1|A";"17|1|A";0,452337
"24|1|B";"40|2|B";0,453296
"30|2|A";"35|1|A";0,453349
"7|1|A";"44|1|A";0,453619
"12|2|A";"31|1|A";0,453797
"11|2|B";"31|1|A";0,454313
"4|2|B";"22|1|A";0,454563
"22|1|A";"43|1|B";0,454606
"17|2|B";"24|2|A";0,454856
"10|1|A";"38|1|A";0,455304
